player_name,club,atta_serial,atta_position,atta_assists,atta_corner_taken,atta_offsides,atta_dribbles,atta_match_played,atte_serial,atte_position,atte_total_attempts,atte_on_target,atte_off_target,atte_blocked,atte_match_played,defe_serial,defe_position,defe_balls_recoverd,defe_tackles,defe_t_won,defe_t_lost,defe_clearance_attempted,defe_match_played,disc_serial,disc_position,disc_fouls_committed,disc_fouls_suffered,disc_red,disc_yellow,disc_minutes_played,disc_match_played,dist_serial,dist_position,dist_pass_accuracy,dist_pass_attempted,dist_pass_completed,dist_cross_accuracy,dist_cross_attempted,dist_cross_complted,dist_freekicks_taken,dist_match_played,goal_serial_x,goal_position_x,goal_saved,goal_conceded,goal_saved_penalties,goal_cleansheets,goal_punches_made,goal_match_played_x,goal_serial_y,goal_position_y,goal_goals,goal_right_foot,goal_left_foot,goal_headers,goal_others,goal_inside_area,goal_outside_areas,goal_penalties,goal_match_played_y,key__position,key__minutes_played,key__match_played,key__goals,key__assists,key__distance_covered,cluster,pca1,pca2
aaronson,salzburg,24.0,Midfielder,2.0,4.0,5.0,9.0,8.0,98.0,Midfielder,9.0,3.0,2.0,4.0,8.0,226.0,Midfielder,17.0,4.0,0.0,4.0,3.0,8.0,326.0,Midfielder,3.0,13.0,0.0,0.0,715.0,8.0,456.0,Midfielder,76.1,239.0,181.0,27.0,18.0,5.0,4.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,715.0,8.0,0.0,2.0,103.5,6,4.68447356066055,-0.24521650729948655
abubakari,malmö,0.0,0,0.0,0.0,0.0,0.0,0.0,347.0,Forward,2.0,0.0,2.0,0.0,4.0,543.0,Forward,2.0,2.0,2.0,0.0,2.0,4.0,146.0,Forward,6.0,4.0,0.0,0.0,116.0,4.0,316.0,Forward,82.8,33.0,26.0,0.0,1.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,116.0,4.0,0.0,0.0,15.3,1,-2.2309141220008137,-0.4348303822972516
acuña,sevilla,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,205.0,Defender,19.0,8.0,6.0,2.0,4.0,5.0,31.0,Defender,12.0,6.0,0.0,0.0,379.0,5.0,431.0,Defender,77.8,275.0,214.0,40.0,30.0,12.0,15.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender,379.0,5.0,0.0,0.0,43.2,0,0.8966865026654488,2.541333944571052
adams,leipzig,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,385.0,Midfielder,8.0,8.0,5.0,3.0,2.0,5.0,146.0,Midfielder,6.0,2.0,4.0,0.0,292.0,5.0,118.0,Midfielder,89.4,166.0,146.0,0.0,1.0,0.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,292.0,5.0,0.0,0.0,38.9,1,-0.9571218408305663,1.6830141938747347
adamu,salzburg,0.0,0,0.0,0.0,0.0,0.0,0.0,219.0,Forward,4.0,2.0,0.0,2.0,8.0,428.0,Forward,6.0,8.0,2.0,6.0,0.0,8.0,55.0,Forward,10.0,2.0,0.0,0.0,231.0,8.0,581.0,Forward,60.4,59.0,32.0,0.0,1.0,0.0,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,Forward,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,Forward,231.0,8.0,1.0,0.0,32.6,2,1.3191048389004376,-0.5994935248166368
addo,sheriff,0.0,0,0.0,0.0,0.0,0.0,0.0,440.0,Midfielder,1.0,0.0,1.0,0.0,6.0,138.0,Midfielder,27.0,26.0,7.0,19.0,10.0,6.0,20.0,Midfielder,14.0,4.0,3.0,0.0,491.0,6.0,240.0,Midfielder,85.2,137.0,118.0,0.0,0.0,0.0,2.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,491.0,6.0,0.0,0.0,59.7,0,1.9980687461980806,5.080539948369766
adeyemi,salzburg,64.0,Forward,1.0,0.0,0.0,23.0,8.0,31.0,Forward,16.0,10.0,3.0,3.0,8.0,385.0,Forward,8.0,4.0,1.0,3.0,0.0,8.0,71.0,Forward,9.0,18.0,2.0,0.0,607.0,8.0,597.0,Forward,53.1,90.0,49.0,28.0,7.0,2.0,1.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,Forward,3.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,8.0,Forward,607.0,8.0,3.0,1.0,69.2,6,7.228017144878126,-4.998186527855861
adán,sporting cp,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,526.0,Goalkeeper,70.2,233.0,166.0,0.0,0.0,0.0,34.0,7.0,15.0,Goalkeeper,17.0,13.0,0.0,2.0,8.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Goalkeeper,630.0,7.0,0.0,0.0,36.3,3,-3.416742651911441,2.7147872313083337
aebischer,young boys,64.0,Midfielder,1.0,11.0,0.0,6.0,6.0,130.0,Midfielder,7.0,1.0,5.0,1.0,6.0,90.0,Midfielder,33.0,7.0,2.0,5.0,2.0,6.0,146.0,Midfielder,6.0,4.0,2.0,0.0,504.0,6.0,228.0,Midfielder,85.5,272.0,235.0,47.0,21.0,10.0,3.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,504.0,6.0,0.0,1.0,53.9,0,3.509777126961515,1.6518978497887424
agüero,barcelona,0.0,0,0.0,0.0,0.0,0.0,0.0,440.0,Forward,1.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forward,15.0,1.0,0.0,0.0,1.9,3,-4.734757642397404,-1.3117360658472943
