serial_attacking,player_name,club,position,assists_attacking,corner_taken_attacking,offsides_attacking,dribbles_attacking,match_played_attacking,serial_attempts,total_attempts_attempts,on_target_attempts,off_target_attempts,blocked_attempts,match_played_attempts,serial_goals,goals_goals,right_foot_goals,left_foot_goals,headers_goals,others_goals,inside_area_goals,outside_areas_goals,penalties_goals,match_played_goals,serial_disciplinary,fouls_committed_disciplinary,fouls_suffered_disciplinary,red_disciplinary,yellow_disciplinary,minutes_played_disciplinary,match_played_disciplinary,minutes_played_key_stats,match_played_key_stats,goals_key_stats,assists_key_stats,distance_covered_key_stats,cluster_offensive
24.0,Aaronson,Salzburg,Midfielder,2.0,4.0,5.0,9.0,8.0,98.0,9.0,3.0,2.0,4.0,8.0,,,,,,,,,,,326.0,3.0,13.0,0.0,0.0,715.0,8.0,715.0,8.0,0.0,2.0,103.5,0
,Abubakari,Malmö,Forward,,,,,,347.0,2.0,0.0,2.0,0.0,4.0,,,,,,,,,,,146.0,6.0,4.0,0.0,0.0,116.0,4.0,116.0,4.0,0.0,0.0,15.3,3
,Acuña,Sevilla,Defender,,,,,,,,,,,,,,,,,,,,,,31.0,12.0,6.0,0.0,0.0,379.0,5.0,379.0,5.0,0.0,0.0,43.2,3
,Adams,Leipzig,Midfielder,,,,,,,,,,,,,,,,,,,,,,146.0,6.0,2.0,4.0,0.0,292.0,5.0,292.0,5.0,0.0,0.0,38.9,0
,Adamu,Salzburg,Forward,,,,,,219.0,4.0,2.0,0.0,2.0,8.0,73.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,55.0,10.0,2.0,0.0,0.0,231.0,8.0,231.0,8.0,1.0,0.0,32.6,2
,Addo,Sheriff,Midfielder,,,,,,440.0,1.0,0.0,1.0,0.0,6.0,,,,,,,,,,,20.0,14.0,4.0,3.0,0.0,491.0,6.0,491.0,6.0,0.0,0.0,59.7,0
64.0,Adeyemi,Salzburg,Forward,1.0,0.0,0.0,23.0,8.0,31.0,16.0,10.0,3.0,3.0,8.0,23.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,8.0,71.0,9.0,18.0,2.0,0.0,607.0,8.0,607.0,8.0,3.0,1.0,69.2,1
,Adán,Sporting CP,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.0,7.0,0.0,0.0,36.3,3
64.0,Aebischer,Young Boys,Midfielder,1.0,11.0,0.0,6.0,6.0,130.0,7.0,1.0,5.0,1.0,6.0,,,,,,,,,,,146.0,6.0,4.0,2.0,0.0,504.0,6.0,504.0,6.0,0.0,1.0,53.9,0
,Agüero,Barcelona,Forward,,,,,,440.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,15.0,1.0,0.0,0.0,1.9,3
